tracker_id,organization,board,vehicle_type,model,door_count,release_date,articulated,accessibility
,PT-1,1230,trolleybus,ZiU/9,3,01/09/1989,,
,PT-1,1201,trolleybus,ZiU/9,3,01/02/1987,,
000004,PT-1,1232,trolleybus,ZiU/9,3,01/11/1989,,
,PT-1,1216,trolleybus,ZiU/9,3,01/09/1988,,
,PT-1,1217,trolleybus,ZiU/9,3,01/11/1988,,
000005,PT-1,1222,trolleybus,ZiU/9,3,01/01/1989,,
,PT-1,1241,trolleybus,ZiU/9,3,01/09/1990,,
,PT-1,1249,trolleybus,ZiU/9,3,01/07/1991,,
,PT-1,1264,trolleybus,Skoda/14-Tr.M,3,15/10/2001,,
,PT-1,1265,trolleybus,Skoda/14-Tr.M,3,15/01/2002,,
,PT-1,1266,trolleybus,Skoda/14-Tr.M,3,15/01/2002,,
,PT-1,1267,trolleybus,Skoda/14-Tr.M,3,15/01/2002,,
,PT-1,1268,trolleybus,Skoda/14-Tr.M,3,15/01/2002,,
,PT-1,1269,trolleybus,Skoda/14-Tr.M,3,15/01/2002,,
,PT-1,1270,trolleybus,Skoda/14-Tr.M,3,15/01/2002,,
,PT-1,1271,trolleybus,Skoda/14-Tr.M,3,15/01/2002,,
,PT-1,1272,trolleybus,Skoda/14-Tr.M,3,15/01/2002,,
000001,PT-1,1273,trolleybus,Skoda/14-Tr.M,3,14/10/2002,,
,PT-1,1274,trolleybus,Skoda/14-Tr.M,3,08/06/2004,,
,PT-1,1275,trolleybus,Skoda/14-Tr.M,3,09/06/2004,,
,PT-1,1276,trolleybus,Skoda/14-Tr.M,3,10/06/2004,,
,PT-1,1278,trolleybus,BKM/AKSM-213,4,15/11/2005,yes,
,PT-1,1279,trolleybus,BKM/AKSM-213,4,15/11/2005,yes,
,PT-1,1280,trolleybus,Litan/IuMZ-T2,3,05/06/2006,,
,PT-1,1281,trolleybus,Litan/IuMZ-T2,3,05/06/2006,,
,PT-1,1282,trolleybus,Litan/IuMZ-T2,3,05/06/2006,,
,PT-1,1283,trolleybus,Litan/IuMZ-T2,3,05/06/2006,,
,PT-1,1284,trolleybus,Litan/IuMZ-T2,3,05/06/2006,,
,PT-1,1285,trolleybus,BKM/AKSM-321,3,27/04/2011,,yes
,PT-1,1286,trolleybus,BKM/AKSM-321,3,27/04/2011,,yes
,PT-1,1287,trolleybus,BKM/AKSM-321,3,27/04/2011,,yes
,PT-1,1288,trolleybus,BKM/AKSM-321,3,27/04/2011,,yes
,PT-1,1289,trolleybus,BKM/AKSM-321,3,27/04/2011,,yes
,PT-1,1290,trolleybus,BKM/AKSM-321,3,27/04/2011,,yes
,PT-1,1291,trolleybus,BKM/AKSM-321,3,27/04/2011,,yes
,PT-1,1292,trolleybus,BKM/AKSM-321,3,27/04/2011,,yes
,PT-1,1293,trolleybus,BKM/AKSM-321,3,27/04/2011,,yes
,PT-1,1294,trolleybus,BKM/AKSM-321,3,27/04/2011,,yes
